code,name,industry,sz50,hs300
601318,中国平安,保险,,
601336,新华保险,保险,,
601601,中国太保,保险,,
601628,中国人寿,保险,,
000961,中南建设,地产,,
001979,招商蛇口,地产,,
600048,保利地产,地产,,
300365,恒华科技,电力,,
600406,国电南瑞,电力,,
002025,航天电器,电子,,
002281,光迅科技,电子,,
002376,新北洋,电子,,
300546,雄帝科技,电子,,
600536,中国软件,电子,,
600256,广汇能源,煤炭,,
601088,中国神华,煤炭,,
601225,陕西煤业,煤炭,,
601717,郑煤机,煤炭,,
600299,安迪苏,其他,,
600372,中航电子,其他,,
600273,嘉化能源,其他,,
002683,宏大爆破,其他,,
600482,中国动力,其他,,
002585,双星新材,其他,,
603608,天创时尚,其他,,
002007,华兰生物,其他,,
002228,合兴包装,其他,,
603826,坤彩科技,其他,,
600104,上汽集团,汽车,,
600741,华域汽车,汽车,,
002353,杰瑞股份,石油,,
600028,中国石化,石油,,
600339,中油工程,石油,,
600583,海油工程,石油,,
600688,上海石化,石油,,
601857,中国石油,石油,,
000968,蓝焰控股,天然气,,
600803,新奥股份,天然气,,
601139,深圳燃气,天然气,,
601006,大秦铁路,铁路,,
601333,广深铁路,铁路,,
600111,北方稀土,稀土 ,,
600392,盛和资源,稀土 ,,
300253,卫宁健康,医疗,,
300451,创业软件,医疗,,
002142,宁波银行,银行,,
600036,招商银行,银行,,
601229,上海银行,银行,,
601288,农业银行,银行,,
601328,交通银行,银行,,
601398,工商银行,银行,,
601818,光大银行,银行,,
601939,建设银行,银行,,
601988,中国银行,银行,,
600305,恒顺醋业,饮食,,
600872,中炬高新,饮食,,
603288,海天味业,饮食,,
